creates_hidden_file,Ransomware appends_extension,antivm_queries_computername,network service communication,create service,Generate Crypto Key,Create_exe,Network tor,antivm_memory_available,Peid Packer,Persistance autorun,mov_count,transfer_count,arithmetic_count,call_count,compare_count,avg_betweenness_centrality,avg_closeness_centrality,avg_degree_centrality,avg_eigenvector_centrality,avg_pagerank,avg_katz_centrality,avg_clustering_coefficient,label
0,0,0,1,0,0,1,1,0,1,1,29,85,4,17,7,0.0626587301587301,0.398953300006871,0.727857142857142,0.315811096877527,0.301349206349206,0.529464051563505,0.179722222222222,1
0,0,0,1,0,0,1,1,0,1,1,30,84,4,17,8,0.0603257853257853,0.331942179300767,0.678138528138528,0.33862161407781,0.325468975468975,0.531400281840818,0.172373737373737,1
0,0,0,1,0,0,1,1,0,1,1,28,74,4,12,5,0.0867460317460317,0.380842352092352,0.669047619047618,0.262289707762134,0.234126984126984,0.470593384824958,0.326111111111111,1
0,0,0,1,0,0,1,1,0,1,1,28,74,4,12,5,0.0867460317460317,0.380842352092352,0.669047619047618,0.262289707762134,0.234126984126984,0.470593384824958,0.326111111111111,1
0,0,0,1,0,0,1,1,0,1,1,36,87,4,20,12,0.0773349130466619,0.234429413496943,0.349551880999844,0.135691808534667,0.121339771339771,0.317916343599681,0.265845635845635,1
0,0,0,1,0,0,1,1,0,1,1,28,74,4,12,5,0.0693107769423558,0.350122723837009,0.616190476190476,0.255967027293306,0.221428571428571,0.44855348587946,0.298386243386243,1
0,0,0,1,0,0,1,1,0,1,1,237,177,18,140,46,0.0620931868409611,0.222957706850868,0.404630997595905,0.270243721353433,0.207911352306302,0.406780585904689,0.0998993856821117,1
0,0,0,1,0,0,1,1,0,1,1,33,88,4,19,11,0.0612995482008031,0.326544107175734,0.568923893294602,0.247042725600829,0.222394126341494,0.438032954546376,0.208237072381809,1
0,0,0,1,0,0,1,1,0,1,1,36,88,4,23,12,0.0580101679366385,0.295001194517307,0.49974957962574,0.25936167637821,0.187271062271062,0.413878085483464,0.189735449735449,1
0,0,0,1,0,0,1,1,0,1,1,28,74,4,12,5,0.0867460317460317,0.380842352092352,0.669047619047618,0.262289707762134,0.234126984126984,0.470593384824958,0.326111111111111,1
0,0,0,1,0,0,1,1,0,1,1,28,74,4,12,5,0.0867460317460317,0.380842352092352,0.669047619047618,0.262289707762134,0.234126984126984,0.470593384824958,0.326111111111111,1
0,0,0,1,0,0,1,1,0,1,1,28,74,4,12,5,0.0867460317460317,0.380842352092352,0.669047619047618,0.262289707762134,0.234126984126984,0.470593384824958,0.326111111111111,1
